router,feature,importance_mean,importance_std,n_seeds
extra_trees_router,cat__task_type_math,0.15031268727719266,0.015596482103842737,30
extra_trees_router,cat__task_type_social_science,0.10507754874779043,0.0154140475865597,30
extra_trees_router,num__num_numbers,0.0606824890169786,0.007878398513842581,30
extra_trees_router,num__cheap_answer_words,0.04668104581773363,0.0067741868306498785,30
extra_trees_router,num__cheap_answer_chars,0.037009739046658566,0.004746318716695419,30
extra_trees_router,num__prompt_words,0.03538973437906682,0.003349473552837842,30
extra_trees_router,cat__task_type_science,0.033584160726820765,0.008689290253361624,30
extra_trees_router,num__has_quantity_word,0.03139001378519252,0.00736799133996477,30
extra_trees_router,num__prompt_chars,0.030890423826828533,0.0025583196359412453,30
extra_trees_router,cat__question_start_was,0.029895871488446683,0.013989286586380089,30
extra_trees_router,num__capitalized_word_count,0.029038401015935474,0.00249656540680022,30
extra_trees_router,num__has_comparison_word,0.026918188407933627,0.004512914036025782,30
extra_trees_router,num__has_math_symbols,0.026066822197333177,0.005705723521168918,30
extra_trees_router,cat__question_start_which,0.02361612587789215,0.003042565990988031,30
extra_trees_router,cat__task_type_humanities,0.021477972962761435,0.004255400174468711,30
extra_trees_router,num__has_negation_word,0.020808488222942224,0.003087390981386741,30
extra_trees_router,num__contains_quote,0.01975790782791328,0.0047593143059985014,30
extra_trees_router,cat__question_start_what,0.01971056877694405,0.008487212415041417,30
extra_trees_router,num__question_mark_count,0.017855171414206016,0.003869257165959182,30
extra_trees_router,cat__question_start_in,0.016233599639995086,0.002668977487130724,30
extra_trees_router,cat__question_start_this,0.012386474203690738,0.0028405327202239037,30
extra_trees_router,cat__question_start_did,0.012359584294616748,0.0023984543789486055,30
extra_trees_router,cat__cheap_parsed_answer_yes,0.011160952063116007,0.0024948934590789426,30
extra_trees_router,cat__question_start_is,0.010896364550523157,0.006736048628536114,30
extra_trees_router,cat__task_type_commonsense,0.010626127827335751,0.0019114432051180472,30
